jname,RD_tfc_N1i,RD_tfc_N1o,RD_tfc_N2i,RD_tfc_N2o,RD_tfc_S1i,RD_tfc_S1o,RD_tfc_E1i,RD_tfc_E1o,RD_tfc_W1i,RD_tfc_W1o
JNTU,3,3,4,5,3,5,2,5,0,2
JNTU,0,3,3,2,3,3,1,0,1,3
JNTU,4,2,1,5,3,2,1,3,1,5
JNTU,3,0,4,1,4,5,4,4,4,0
JNTU,4,4,2,0,3,1,3,1,4,4
JNTU,5,2,3,1,1,0,0,2,5,2
JNTU,4,5,1,2,3,1,5,1,2,0
JNTU,3,1,0,2,1,5,2,5,2,4
JNTU,0,3,5,0,5,3,1,0,0,3
JNTU,0,1,0,4,5,4,1,5,5,5
JNTU,2,0,1,0,4,4,3,3,5,3
JNTU,0,5,3,1,3,0,4,5,3,5
JNTU,5,3,2,3,3,1,1,5,1,4
JNTU,1,2,4,3,3,1,3,2,2,0
JNTU,0,4,5,0,0,3,2,1,1,2
JNTU,1,3,3,0,2,0,3,5,4,4
JNTU,0,2,5,4,0,5,5,4,0,0
JNTU,5,1,1,4,2,0,4,5,2,3
JNTU,5,1,1,2,2,1,3,3,1,1
JNTU,2,3,5,0,1,5,3,4,1,4
JNTU,5,4,5,5,1,0,3,5,2,5
JNTU,0,2,3,5,2,4,3,1,1,0
JNTU,2,5,5,2,1,1,3,1,2,1
JNTU,0,5,5,2,5,3,5,2,0,5
JNTU,5,3,3,4,3,1,1,1,0,3
JNTU,1,0,2,2,2,3,0,5,5,5
JNTU,2,0,5,5,4,5,3,4,3,2
JNTU,2,3,5,3,0,3,4,4,4,5
JNTU,0,0,3,2,0,1,3,5,1,3
JNTU,3,2,3,3,3,3,5,1,1,2
JNTU,4,2,1,2,1,0,5,2,2,0
JNTU,2,1,3,3,1,5,5,0,0,5
JNTU,0,0,4,0,3,0,4,4,5,1
JNTU,0,2,4,4,3,2,3,5,4,3
JNTU,2,4,0,5,4,0,3,3,2,4
JNTU,3,4,1,4,5,3,5,0,1,4
JNTU,1,1,0,2,2,2,4,3,0,3
JNTU,4,0,5,3,1,1,2,5,1,0
JNTU,3,4,4,3,2,5,0,4,4,5
JNTU,1,0,0,4,2,0,1,5,1,3
JNTU,1,4,3,2,5,4,5,3,3,0
JNTU,4,0,0,0,1,4,0,3,5,5
JNTU,2,0,0,4,4,4,1,3,4,3
JNTU,3,2,3,4,2,5,4,0,0,0
JNTU,5,5,2,5,0,1,2,1,4,1
JNTU,5,2,2,1,5,5,3,4,3,0
JNTU,5,3,3,0,2,1,2,4,1,1
JNTU,5,2,5,3,1,1,5,3,4,5
JNTU,0,4,2,4,3,1,2,2,4,4
JNTU,0,4,1,1,4,1,3,1,3,2
JNTU,2,2,4,0,3,0,2,2,1,3
JNTU,1,0,1,5,0,2,3,3,5,5
JNTU,2,2,2,1,5,2,2,1,3,2
JNTU,3,1,3,0,5,5,1,4,3,1
JNTU,5,2,2,4,0,1,0,1,3,1
JNTU,1,3,2,4,0,1,1,4,2,5
JNTU,5,2,4,2,5,0,3,2,4,4
JNTU,2,2,5,3,5,3,4,0,1,1
JNTU,1,1,3,3,3,5,2,0,4,3
JNTU,3,1,4,2,3,3,4,0,0,0
JNTU,5,4,3,4,1,0,2,5,5,4
JNTU,4,2,3,4,2,3,5,2,2,2
JNTU,0,1,4,0,4,1,3,3,4,3
JNTU,0,5,5,4,1,5,2,4,4,1
JNTU,0,2,5,5,5,1,5,3,3,3
JNTU,4,5,1,1,0,1,4,1,2,0
JNTU,1,2,4,4,2,3,3,2,0,4
JNTU,0,1,4,0,4,2,2,3,0,0
JNTU,0,4,2,1,4,5,5,2,0,0
JNTU,1,3,2,1,1,3,1,4,4,2
JNTU,5,4,3,3,2,1,0,5,4,2
JNTU,5,0,4,1,2,2,2,5,2,2
JNTU,5,0,1,0,1,0,1,5,5,1
JNTU,3,1,2,2,5,1,0,2,2,3
JNTU,3,2,4,3,1,2,1,5,0,3
JNTU,1,3,1,3,2,5,4,4,4,0
JNTU,3,0,2,0,0,0,3,1,1,2
JNTU,5,4,0,5,2,1,2,1,5,1
JNTU,4,4,0,5,5,5,0,2,5,0
